region,func,B_x,B_y,S1_y,S2_x,rect_area,rect_rel,cross_x,cross_y,lambda_cross,s1_bracketed,s2_bracketed
Netherlands,LINEAR,1615,60676723,47886814,1172.0,5.666e+09,0.05782,1385.9,54061153,28968.7,True,True
Netherlands,LOGISTIC,1615,1906710,1748200,1063.9,8.735e+07,0.02837,1324.3,1823091,285.6,True,True
Luxembourg,LINEAR,86,2402833,1920045,60.3,1.241e+07,0.06006,72.4,2147680,18914.0,True,True
Luxembourg,LOGISTIC,86,71132,65216,55.8,1.786e+05,0.02919,69.8,67954,192.8,True,True
Estonia,LINEAR,292,5947125,4572666,197.7,1.296e+08,0.07463,242.1,5219515,14517.9,True,True
Estonia,LOGISTIC,292,173541,148687,171.2,3.002e+06,0.05924,226.0,159952,209.4,True,True
Latvia,LINEAR,496,7488147,5885016,351.5,2.317e+08,0.06237,419.3,6637775,11135.7,True,True
Latvia,LOGISTIC,496,230313,203960,313.4,4.811e+06,0.04211,396.8,215995,142.2,True,True
Slovenia,LINEAR,306,11727544,10035728,224.0,1.388e+08,0.03868,262.7,10834127,20881.0,True,True
Slovenia,LOGISTIC,306,284255,258185,206.9,2.584e+06,0.02971,253.0,270306,262.2,True,True
Lithuania,LINEAR,582,12327166,9316059,377.0,6.171e+08,0.08602,472.6,10719938,14694.9,True,True
Lithuania,LOGISTIC,582,361093,306967,313.0,1.456e+07,0.06927,431.5,330807,205.5,True,True
Ireland,LINEAR,862,23555517,19498885,627.5,9.514e+08,0.04686,739.8,21441436,17437.6,True,True
Ireland,LOGISTIC,862,630482,570071,564.7,1.796e+07,0.03305,703.0,598187,203.9,True,True
Norway,LINEAR,755,40818616,30206573,429.0,3.459e+09,0.11226,576.1,34993451,31992.3,True,True
Norway,LOGISTIC,755,895553,718500,395.9,6.358e+07,0.09404,552.8,795885,493.2,True,True
Denmark,LINEAR,466,37535777,31617556,332.9,7.880e+08,0.04505,396.3,34437015,44662.4,True,True
Denmark,LOGISTIC,466,860109,758737,299.8,1.685e+07,0.04203,376.5,805527,617.9,True,True
Austria,LINEAR,1129,43066126,34144330,755.8,3.330e+09,0.06848,931.2,38338641,23958.1,True,True
Austria,LOGISTIC,1129,1159014,1003949,633.0,7.691e+07,0.05877,854.0,1073024,305.4,True,True
Portugal,LINEAR,1882,34176605,26619466,1310.9,4.316e+09,0.06709,1580.3,30184396,13147.3,True,True
Portugal,LOGISTIC,1882,1086434,995129,1258.4,5.694e+07,0.02785,1547.8,1037504,146.2,True,True
Czechia,LINEAR,1624,44425880,35535397,1136.6,4.333e+09,0.06006,1367.1,39739024,18281.7,True,True
Czechia,LOGISTIC,1624,1252023,1130952,1036.4,7.114e+07,0.03499,1308.9,1187085,207.0,True,True
Belgium,LINEAR,2958,21512721,18149431,2438.2,1.748e+09,0.02747,2689.9,19777842,6480.9,True,True
Belgium,LOGISTIC,2958,1058740,1026839,2404.7,1.765e+07,0.00564,2672.7,1042291,57.8,True,True
Poland,LINEAR,7027,133247698,109499211,5144.0,4.472e+10,0.04776,6057.3,121017482,12898.2,True,True
Poland,LOGISTIC,7027,4144216,3827972,4818.5,6.984e+08,0.02398,5840.6,3974323,142.0,True,True
Hungary,LINEAR,1864,34859943,28050451,1383.1,3.275e+09,0.05040,1612.2,31294407,14204.1,True,True
Hungary,LOGISTIC,1864,1080598,989139,1278.7,5.353e+07,0.02657,1556.9,1032609,158.6,True,True
Finland,LINEAR,719,35088382,30366266,541.2,8.397e+08,0.03328,626.1,32620763,26624.8,True,True
Finland,LOGISTIC,719,814949,749560,530.7,1.231e+07,0.02102,619.4,780365,347.9,True,True
FR1,LINEAR,1449,12744099,9689217,1230.7,6.669e+08,0.03611,1335.6,11156810,13940.3,True,True
FR1,LOGISTIC,1449,1049065,1018700,1211.2,7.221e+06,0.00475,1326.1,1033366,128.7,True,True
FRB,LINEAR,613,11226086,9703335,483.0,1.980e+08,0.02877,545.9,10440132,11649.2,True,True
FRB,LOGISTIC,613,308837,287468,453.8,3.403e+06,0.01798,529.0,297565,133.0,True,True
FRC,LINEAR,723,13380443,11622535,568.6,2.714e+08,0.02806,643.6,12476528,11310.0,True,True
FRC,LOGISTIC,723,351066,324594,526.4,5.205e+06,0.02050,619.6,337147,134.8,True,True
FRD,LINEAR,678,14211130,12324742,533.7,2.722e+08,0.02825,604.2,13246367,13111.9,True,True
FRD,LOGISTIC,678,390806,365252,503.7,4.455e+06,0.01681,586.2,377350,145.5,True,True
FRE,LINEAR,1333,17445791,14850754,1078.8,6.598e+08,0.02837,1201.8,16106399,10212.2,True,True
FRE,LOGISTIC,1333,618639,586529,1025.5,9.872e+06,0.01197,1172.9,601915,103.5,True,True
FRF,LINEAR,1167,21408155,18281608,919.5,7.740e+08,0.03098,1039.9,19802516,12660.0,True,True
FRF,LOGISTIC,1167,636018,593199,858.3,1.322e+07,0.01781,1005.2,613579,138.6,True,True
