region,archetype,residents_per_location,lambda_cross_eur,fitted_eur,residual_log10,ratio_actual_over_fitted
SE3,3,7049,626,248,0.403,2.53
Norway,3,6768,493,234,0.324,2.11
FRM,1,3813,182,103,0.248,1.77
Estonia,2,4514,209,131,0.204,1.60
SE2,3,9742,579,394,0.167,1.47
Lithuania,3,4822,206,144,0.155,1.43
Latvia,1,3815,142,103,0.141,1.38
FRC,1,3871,135,105,0.108,1.28
Finland,2,7622,348,277,0.099,1.26
FRI,1,3821,120,103,0.066,1.16
FRB,1,4201,133,118,0.052,1.13
Denmark,2,12349,618,553,0.048,1.12
FRH,1,4215,133,119,0.048,1.12
Slovenia,1,6865,262,239,0.041,1.10
PL8,1,4748,154,141,0.038,1.09
Ireland,3,5797,204,187,0.037,1.09
SE1,3,10522,478,440,0.036,1.09
FRJ,1,4221,127,119,0.029,1.07
Austria,1,7911,305,292,0.019,1.04
FRG,1,4512,134,131,0.011,1.03
FRD,1,4859,145,145,-0.000,1.00
Hungary,1,5177,159,159,-0.002,1.00
PL6,1,5454,168,172,-0.009,0.98
FRF,1,4764,139,141,-0.009,0.98
Czechia,3,6460,207,219,-0.024,0.95
FRK,1,4815,134,144,-0.032,0.93
Portugal,1,5234,146,162,-0.044,0.90
PL4,1,5024,137,153,-0.047,0.90
PL7,1,5238,141,162,-0.060,0.87
ITH,1,3848,89,104,-0.068,0.85
FRL,1,4919,124,148,-0.076,0.84
PL5,1,5440,141,171,-0.083,0.83
ITG,1,4388,101,126,-0.093,0.81
FRE,1,4489,104,130,-0.099,0.80
PL9,1,5876,149,191,-0.107,0.78
ITF,1,4179,91,117,-0.110,0.78
PL2,1,5297,127,165,-0.112,0.77
ITI,1,4316,92,123,-0.127,0.75
Luxembourg,1,7377,193,264,-0.137,0.73
ITC,1,4083,77,113,-0.166,0.68
Netherlands,3,10810,286,457,-0.204,0.62
Belgium,1,3898,58,106,-0.264,0.55
FR1,1,8498,129,324,-0.401,0.40
