region,func,B_facilities,B_travelcost,S1_travelcost,S2_facilities,corner_facilities,corner_travelcost,rect_area_raw,rect_rel,cross_facilities,cross_travelcost,lambda_cross_eur,w_cross,cross_facilitycost_eur,cross_totalcost_eur,s1_bracketed,s2_bracketed,n_frontier_pts
Netherlands,LINEAR,1615,60676723,47886814,1172.03,1172.03,47886814,5.665526e+09,0.057816,1385.87,54061153,28968.67,0.289687,40146949,94208102,True,True,40
Netherlands,LOGISTIC,1615,1906710,1748200,1063.92,1063.92,1748200,8.735135e+07,0.028367,1324.29,1823091,285.58,0.002856,378194,2201285,True,True,24
Luxembourg,LINEAR,86,2402833,1920045,60.29,60.29,1920045,1.241178e+07,0.060064,72.41,2147680,18913.96,0.189140,1369618,3517298,True,True,24
Luxembourg,LOGISTIC,86,71132,65216,55.81,55.81,65216,1.785886e+05,0.029194,69.79,67954,192.78,0.001928,13453,81408,True,True,23
Estonia,LINEAR,292,5947125,4572666,197.71,197.71,4572666,1.296020e+08,0.074631,241.94,5217368,14595.93,0.145959,3531279,8748647,True,True,27
Estonia,LOGISTIC,292,173541,148687,171.26,171.26,148687,3.000937e+06,0.059220,225.87,159929,207.37,0.002074,46839,206768,True,True,26
Latvia,LINEAR,496,7488147,5885016,351.49,351.49,5885016,2.316678e+08,0.062375,419.35,6637775,11135.67,0.111357,4669695,11307471,True,True,29
Latvia,LOGISTIC,496,230313,203960,313.45,313.45,203960,4.810812e+06,0.042113,396.82,215995,142.25,0.001422,56447,272442,True,True,26
Slovenia,LINEAR,306,11727544,10035728,223.96,223.96,10035728,1.388025e+08,0.038678,262.67,10834127,20881.01,0.208810,5484905,16319032,True,True,27
Slovenia,LOGISTIC,306,284255,258185,206.88,206.88,258185,2.584180e+06,0.029709,252.96,270306,262.22,0.002622,66332,336638,True,True,27
Lithuania,LINEAR,582,12327166,9316059,377.05,377.05,9316059,6.171274e+08,0.086018,472.60,10719938,14694.90,0.146949,6944873,17664811,True,True,25
Lithuania,LOGISTIC,582,361093,306967,313.03,313.03,306967,1.455816e+07,0.069273,431.50,330807,205.53,0.002055,88688,419494,True,True,26
Ireland,LINEAR,862,23555517,19498885,627.47,627.47,19498885,9.514217e+08,0.046857,739.77,21441436,17437.64,0.174376,12899915,34341351,True,True,35
Ireland,LOGISTIC,862,630482,570071,564.65,564.65,570071,1.796323e+07,0.033053,703.04,598187,203.94,0.002039,143380,741567,True,True,22
Norway,LINEAR,755,40818616,30206573,429.00,429.00,30206573,3.459487e+09,0.112255,576.05,34993451,31992.29,0.319923,18429286,53422737,True,True,47
Norway,LOGISTIC,755,895553,718500,395.88,395.88,718500,6.358268e+07,0.094037,552.84,795885,493.22,0.004932,272676,1068561,True,True,29
Denmark,LINEAR,466,37535777,31617556,332.86,332.86,31617556,7.879671e+08,0.045048,396.29,34437015,44662.45,0.446624,17699144,52136159,True,True,39
Denmark,LOGISTIC,466,860109,758737,299.81,299.81,758737,1.684735e+07,0.042033,376.52,805527,617.87,0.006179,232637,1038163,True,True,23
Austria,LINEAR,1129,43066126,34144330,755.78,755.78,34144330,3.329799e+09,0.068484,931.24,38338641,23958.09,0.239581,22310675,60649315,True,True,34
Austria,LOGISTIC,1129,1159014,1003949,633.05,633.05,1003949,7.690506e+07,0.058772,853.97,1073024,305.40,0.003054,260806,1333830,True,True,25
Portugal,LINEAR,1882,34176605,26619466,1310.95,1310.95,26619466,4.315539e+09,0.067094,1580.33,30184396,13147.26,0.131473,20776994,50961389,True,True,24
Portugal,LOGISTIC,1882,1086434,995129,1258.36,1258.36,995129,5.694175e+07,0.027849,1547.79,1037504,146.25,0.001462,226360,1263864,True,True,25
